ADDRLEN,15,,,,,
DATALEN,16,,,,,
ADDRESSING,word,,,,,
#,enum name,base addr,words,Verilog module,comment (written to headers),comment (not written to headers)
ICD,HSDCTRL,h0000,41,board_hsd_ctrl,HSD Controller,
ICD,OBC_SSD_READ,h0080,24,bb_mmi_dbuf_read,SSD to OBC bulk transfer,words = 2**4 + 8
ICD,OBC_SSD_WRITE,h00A0,24,bb_mmi_dbuf_write,OBC to SSD bulk transfer,words = 2**4 + 8
ICD,TDI_RXDBUF,h00C0,10,mmi_axis_dbuf_read,NIC RX DBUF,
ICD,TDI_TXDBUF,h00D0,10,mmi_axis_dbuf_write,NIC TX DBUF,
ICD,IRQCTRL,h00E0,14,irq_mmi_ctrl,IRQ Controller,"words = 7*ceil(N/16), N = number of interrupts"
,SEMCTRL,h0100,8,sem_mmi,SEM Controller,
,LM71CTRL0,h0110,4,temp_lm71_ctrl,Temp Controller Sensor lm71,
,LM71CTRL1,h0114,4,temp_lm71_ctrl,Temp Controller Sensor lm71,
,LMKCLK,h0118,6,"mmi_to_mmi,clk_lmk04828x_ctrl",LMK CTRL,Across an MMItoMMI bridge. Using 8192 words for the clock registers the 25 as MMI.
,FE_ADC,h0120,8,adc_ads1118_ctrl,FE ADC,
,ZYNQ_FW_EVENTS,h01C0,9,mmi_fifobuffer,Zynq Firewall event FIFO,
,MMI_FW_EVENTS,h01D0,9,mmi_fifobuffer,MMI Firewall event FIFO,
,MMI_FW,h01E8,6,"mmi_firewalled_arbiter,mmi_roregfile",MMI Firewall status bits,
,PS_MASTER,h01F0,10,"mmi_to_mmi,mmi_to_wide_axi4",Zynq axi_lpd_s bus,
ICD,GLOBAL_ALARM,h0200,68,mon_alarm_v2,Alarm Monitor,words = 4 + 16*(max num alerts)
,CPMCTRL0,h2000,180,cpm_ina23xctrl,Current Monitors,words = MMI_WORDSPERMON*NUM_MONITORS + MMI_CTRLWORDS
,CPMCTRL1,h2100,180,cpm_ina23xctrl,Current Monitors,words = MMI_WORDSPERMON*NUM_MONITORS + MMI_CTRLWORDS
,RXADC,h0300,13,adc_kad5512_ctrl,RX ADC,words = NUMSPISTEPS + 1
,RXAMP,h0320,18,amp_lmh6401_ctrl,RX AMP,words = (NAMPS*NUMSPIREG) + 6
,RXADCDATA,h0340,18,adc_kad5512_data_mmi,RX ADC DATA,words = ADC_DESFACTOR + ADC_NBITS + 2 = rxsdr.ADCDESFACTOR + rxsdr.ADCNBITS + 2
,RXDATA,h0360,25,rxsdr_data,RX DATA,
,RXDSP,h0380,31,rxsdr_dsp_mmi,RX DSP,
,UPI_RXDEMOD,h03A0,6,mmi_to_upi,RX Demodulator - UPI,
,RXFIFO,h03B0,9,mmi_fifobuffer,RX ADC FIFO,
,TXDATA,h03C0,13,txsdr_data,TX data,
,TXDSP,h03D0,11,txsdr_dsp_mmi,TX DSP,
,UPI_TXMOD,h03E0,6,txsdr_dvbs2,TX Modulator - UPI,
,TXSDR_TXBUF,h0400,7,axis_mmibuffer,TXSDR input buffer (for testing),
,RX_PWR_PREFILT,h0420,15,pwr_detector,Rx power monitor (before filter),
,RX_PWR_POSTFILT,h0430,15,pwr_detector,Rx power monitor (after filter),
,UPI_POLL,h0440,6,mmi_upi_poll,UPI polling,Leave 32 words for expansion
,RX_BBFILT,h0460,22,rxsddr_bb_filter,Filter baseband packets based on BB header,
,TXDAC,h0500,148,dac_dac3xj8x_ctrl,DAC,words = NUMDACREGS + 20
,TXDAC_JESD,h0600,7,"mmi_to_mmi_v2,mmi_to_axi4lite",DAC JESD control registers,
,FE_SYNTHRX,h0800,78,synth_lmx_2592_ctrl,FE synthesizer rx,words = NSYNTHREGS + 13
,FE_SYNTHTX,h0880,78,synth_lmx_2592_ctrl,FE synthesizer tx,
,PCH_TEMP_LIMIT,h0B00,2,mon_limits_mmi,PCH LM71 temperature limits,
,HDR_TEMP_LIMIT,h0B02,2,mon_limits_mmi,ADS1118 temperarate limits (ADC and PA),
,KAS_TEMP_LIMIT,h0B04,4,mon_limits_mmi,ADS1015 temperarate limits (PA and board),
,SCRATCH,h0B80,16,mmi_regfile,Scratch registers for general software use,
,IRQ_TEST,h0AF0,1,irq_simple_test,IRQ software test generator,"Will be replaced with a larger ""Phase II"" module"
,HDR_CPM,h2300,92,cpm_ina23xctrl,HDR current monitors,words = MMI_WORDSPERMON*NUM_MONITORS + MMI_CTRLWORDS
,BP_IO,h1100,6,ioexp_pcal6524_ctrl,Backplane IO Expander,
,RGMII,h1110,8,axis_rgmii,AXIS to RGMII bridge,
,MDIO_CTRL,h1118,4,mdio_mmi,MDIO for PL-side ethernet PHY,
,BP_IO_SEC,h1140,6,ioexp_pcal6524_ctrl,Second backplane IO expander,
