2025-01-06 09:40:17.433 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-01-06 09:40:17.433 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-01-06 09:40:17.433 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-01-06 09:40:17.433 [info] Discovered env: /usr/bin/python3
2025-01-06 09:40:17.434 [info] Discovered env: /bin/python3
2025-01-06 09:40:17.435 [info] Discovered env: /usr/bin/python3.8
2025-01-06 09:40:17.439 [info] Discovered env: /bin/python3.8
2025-01-06 09:40:17.508 [info] Resolved Python Environment /usr/bin/python3
2025-01-06 09:40:17.534 [info] Locator Conda took 57.601844ms
2025-01-06 09:40:17.534 [info] Locator Homebrew took 435.434µs
2025-01-06 09:40:17.534 [info] Locator LinuxGlobal took 70.950247ms
2025-01-06 09:40:17.534 [info] Locator PipEnv took 51.3µs
2025-01-06 09:40:17.534 [info] Locator Poetry took 2.700432ms
2025-01-06 09:40:17.534 [info] Locator PyEnv took 2.751735ms
2025-01-06 09:40:17.534 [info] Locator Venv took 151.005µs
2025-01-06 09:40:17.534 [info] Locator VirtualEnv took 255.557µs
2025-01-06 09:40:17.534 [info] Locator VirtualEnvWrapper took 1.744835ms
2025-01-06 09:40:17.534 [info] Locator GlobalVirtualEnvs took 40.574106ms
2025-01-06 09:40:17.534 [info] Locator Locators took 73.253315ms
2025-01-06 09:40:17.534 [info] Locator Path took 183.48999ms
2025-01-06 09:40:17.534 [info] Locator Workspaces took 18.232365ms
2025-01-06 09:40:17.534 [info] Refresh completed in 183ms
2025-01-06 09:51:04.197 [info] Resolved Python Environment /usr/bin/python3
2025-01-06 09:52:53.275 [info] Resolved Python Environment /usr/bin/python3
2025-01-06 09:56:19.199 [info] Resolved Python Environment /usr/bin/python3
2025-01-06 10:51:19.686 [info] Resolved Python Environment /usr/bin/python3
2025-01-06 11:07:41.902 [info] Resolved Python Environment /usr/bin/python3
2025-01-06 11:12:07.429 [info] Resolved Python Environment /usr/bin/python3
