2025-01-13 11:20:45.300 [info] Experiment 'pythonRecommendTensorboardExt' is active
2025-01-13 11:20:45.301 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2025-01-13 11:20:45.301 [info] Experiment 'pythonTestAdapter' is active
2025-01-13 11:20:45.301 [info] Native locator: Refresh started
2025-01-13 11:20:45.301 [info] Default formatter is set to null for workspace /home/sgass/Projects/kepler
2025-01-13 11:20:45.306 [info] > pyenv which python
2025-01-13 11:20:45.306 [info] cwd: .
2025-01-13 11:20:45.375 [info] Python interpreter path: /usr/bin/python3
2025-01-13 11:20:45.375 [info] Editor support is inactive since language server is set to None.
2025-01-13 11:20:45.417 [info] Native locator: Refresh finished in 156 ms
2025-01-13 11:20:46.312 [warning] Shell integration may not be active, environment activated may be overridden by the shell.
2025-01-13 11:20:46.328 [info] > pixi --version
2025-01-13 11:20:46.330 [warning] could not find a pixi interpreter for the interpreter at /usr/bin/python3
2025-01-13 11:20:46.335 [warning] could not find a pixi interpreter for the interpreter at /usr/bin/python3
2025-01-13 11:35:34.892 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 11:38:30.830 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 11:57:02.998 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 11:57:35.032 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 12:58:13.246 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 12:58:15.173 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:20:32.398 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:20:47.525 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:25:25.201 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:28:23.799 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:31:17.857 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:32:00.940 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:49:57.475 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:50:27.333 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:53:47.292 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:54:13.624 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:55:36.312 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:55:58.876 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:56:37.784 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-13 13:57:18.133 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-14 14:14:06.799 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-14 14:55:01.772 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/network_packet_generator_avmm.py
2025-01-14 14:56:40.073 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/temp.py
2025-01-14 15:00:23.989 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/temp.py
2025-01-14 15:01:32.780 [info] Discover tests for workspace name: kepler - uri: /home/sgass/Projects/kepler/python/kepler/kepler/fpga/devices/temp.py
