2025-02-04 10:52:20.454 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-02-04 10:52:20.455 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-02-04 10:52:20.456 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-02-04 10:52:20.468 [info] Discovered env: /usr/bin/python3
2025-02-04 10:52:20.469 [info] Discovered env: /bin/python3
2025-02-04 10:52:20.483 [info] Discovered env: /usr/bin/python3.8
2025-02-04 10:52:20.487 [info] Discovered env: /bin/python3.8
2025-02-04 10:52:20.529 [info] Resolved Python Environment /bin/python3
2025-02-04 10:52:20.586 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 10:52:20.615 [info] Locator Conda took 56.18565ms
2025-02-04 10:52:20.615 [info] Locator Homebrew took 1.55004ms
2025-02-04 10:52:20.615 [info] Locator LinuxGlobal took 75.40379ms
2025-02-04 10:52:20.615 [info] Locator PipEnv took 164.455µs
2025-02-04 10:52:20.615 [info] Locator Poetry took 2.436549ms
2025-02-04 10:52:20.615 [info] Locator PyEnv took 1.174959ms
2025-02-04 10:52:20.615 [info] Locator Venv took 68.571µs
2025-02-04 10:52:20.615 [info] Locator VirtualEnv took 343.004µs
2025-02-04 10:52:20.615 [info] Locator VirtualEnvWrapper took 93.88µs
2025-02-04 10:52:20.615 [info] Locator GlobalVirtualEnvs took 37.452541ms
2025-02-04 10:52:20.615 [info] Locator Locators took 76.772775ms
2025-02-04 10:52:20.615 [info] Locator Path took 205.13429ms
2025-02-04 10:52:20.615 [info] Locator Workspaces took 16.810772ms
2025-02-04 10:52:20.615 [info] Refresh completed in 205ms
2025-02-04 10:57:29.637 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 10:58:07.568 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 10:58:42.010 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 10:59:50.418 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:10:19.733 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:10:54.957 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:13:43.690 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:23:22.434 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:25:55.824 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:26:32.174 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:28:02.613 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:29:36.726 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:31:59.323 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:33:01.177 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:34:36.552 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:42:30.504 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:44:03.893 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:46:55.090 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:48:58.694 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:49:58.279 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:50:28.642 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:52:37.737 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:53:11.021 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:53:49.696 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 11:55:17.951 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:03:12.984 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:03:56.837 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:04:37.611 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:05:15.255 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:09:34.933 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:10:05.019 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:10:40.712 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:13:50.063 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:14:35.791 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:15:24.639 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:29:56.176 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:30:52.011 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:33:50.147 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:34:20.579 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:35:07.977 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:36:15.167 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:38:46.080 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:39:33.896 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:40:28.693 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:43:52.056 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:45:45.600 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:46:28.269 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:46:58.973 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:47:35.325 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:49:42.539 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:50:17.319 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:51:16.097 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:51:49.693 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:53:07.265 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 12:54:14.170 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 13:57:44.433 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 14:03:56.406 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 14:07:00.050 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 14:08:52.840 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 14:10:12.137 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 14:10:58.339 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 14:14:59.002 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 14:59:47.063 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 15:04:26.577 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 15:05:07.032 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 15:08:07.166 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 16:39:03.513 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 16:39:57.950 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 16:40:31.954 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 16:41:21.411 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 16:42:03.530 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 17:40:06.821 [info] Resolved Python Environment /usr/bin/python3
2025-02-04 17:41:19.660 [info] Resolved Python Environment /usr/bin/python3
