2025-02-21 17:51:17.635 [info] Starting Python Locator /home/sgass/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2025-02-21 17:51:17.636 [info] Discovered env: /home/sgass/.venvs/kepler2/bin/python
2025-02-21 17:51:17.638 [info] Discovered env: /home/sgass/.venvs/kepler/bin/python
2025-02-21 17:51:17.694 [info] Discovered env: /bin/python3
2025-02-21 17:51:17.706 [info] Discovered env: /usr/bin/python3
2025-02-21 17:51:17.715 [info] Discovered env: /bin/python3.8
2025-02-21 17:51:17.721 [info] Discovered env: /usr/bin/python3.8
2025-02-21 17:51:17.767 [info] Resolved Python Environment /bin/python3
2025-02-21 17:51:17.845 [info] Locator Conda took 96.545395ms
2025-02-21 17:51:17.845 [info] Locator Homebrew took 648.068µs
2025-02-21 17:51:17.845 [info] Locator LinuxGlobal took 125.469056ms
2025-02-21 17:51:17.845 [info] Locator PipEnv took 326.564µs
2025-02-21 17:51:17.845 [info] Locator Poetry took 2.577674ms
2025-02-21 17:51:17.846 [info] Locator PyEnv took 2.273261ms
2025-02-21 17:51:17.846 [info] Locator Venv took 136.808µs
2025-02-21 17:51:17.846 [info] Locator VirtualEnv took 295.02µs
2025-02-21 17:51:17.846 [info] Locator VirtualEnvWrapper took 655.839µs
2025-02-21 17:51:17.846 [info] Locator GlobalVirtualEnvs took 61.56706ms
2025-02-21 17:51:17.846 [info] Locator Locators took 126.850873ms
2025-02-21 17:51:17.846 [info] Locator Path took 250.53421ms
2025-02-21 17:51:17.846 [info] Locator Workspaces took 21.290934ms
2025-02-21 17:51:17.846 [info] Refresh completed in 250ms
2025-02-21 17:52:23.143 [info] Resolved Python Environment /bin/python3
2025-02-21 17:53:14.968 [info] Resolved Python Environment /bin/python3
2025-02-21 17:54:24.467 [info] Resolved Python Environment /bin/python3
